date,open,high,low,close,volume
2023-06-15,44054.35,44058.25,43397.5,43453.2,0
2023-06-16,43583.35,44077.55,43546.8,43906.65,0
2023-06-19,44015.3,44026.7,43502.35,43644.05,0
2023-06-20,43597.55,43822.75,43347.4,43796.5,0
2023-06-21,43894.4,43945.6,43700.25,43863.8,0
2023-06-22,43874.8,44039.35,43664.65,43716.5,0
2023-06-23,43641.6,43822.05,43521.35,43617.05,0
2023-06-26,43714.75,43769.75,43541.75,43653.65,0
2023-06-27,43804.55,44194.65,43695.4,44164.05,0
2023-06-28,44419.5,44501.1,44166.6,44391.55,0
2023-06-30,44666.0,44787.1,44447.2,44716.95,0
2023-07-03,44957.95,45353.2,44882.1,45176.35,0
2023-07-04,45310.55,45655.5,45000.25,45283.6,0
2023-07-05,45169.7,45418.9,45073.4,45197.3,0
2023-07-06,45060.55,45417.5,45042.6,45314.85,0
2023-07-07,45118.05,45227.25,44844.8,44892.1,0
2023-07-10,44958.65,45184.3,44721.9,44869.45,0
2023-07-11,44998.0,45139.55,44663.05,44786.35,0
2023-07-12,44872.6,44937.25,44562.4,44660.25,0
2023-07-13,45009.3,45085.15,44612.2,44726.45,0
2023-07-14,44860.65,44923.85,44547.8,44891.0,0
2023-07-17,44951.2,45556.45,44695.05,45502.1,0
2023-07-18,45754.8,45905.85,45281.3,45412.0,0
2023-07-19,45622.5,45707.4,45433.0,45668.2,0
2023-07-20,45689.05,46256.2,45640.95,46171.45,0
2023-07-21,46063.95,46369.5,45925.9,46133.45,0
2023-07-24,46131.9,46191.5,45858.75,45921.4,0
2023-07-25,46154.7,46156.1,45622.85,45838.1,0
2023-07-26,45935.15,46096.6,45804.7,46043.4,0
2023-07-27,46285.85,46310.1,45570.65,45774.6,0
2023-07-28,45560.9,45727.75,45238.8,45460.7,0
2023-07-31,45546.35,45694.9,45359.75,45629.7,0
2023-08-01,45740.0,45782.75,45471.05,45598.05,0
2023-08-02,45234.65,45404.9,44722.5,44989.4,0
2023-08-03,44862.85,45038.45,44284.65,44582.05,0
